"block","type","word"
1,"practice","cotton"
1,"practice","dancer"
3,"neutral","horn"
3,"neutral","piece"
3,"neutral","write"
3,"neutral","voice"
3,"neutral","palace"
3,"neutral","clay"
3,"neutral","devil"
3,"neutral","land"
3,"neutral","walk"
3,"neutral","horse"
3,"neutral","monkey"
3,"neutral","lion"
3,"neutral","trunk"
3,"neutral","tiger"
3,"neutral","errand"
3,"neutral","cube"
3,"neutral","feet"
3,"neutral","mercy"
3,"neutral","kick"
3,"neutral","insect"
3,"neutral","scrape"
3,"neutral","lamp"
3,"neutral","note"
3,"neutral","which"
3,"neutral","part"
3,"neutral","chase"
3,"neutral","click"
3,"neutral","coyote"
3,"winter","winter"
3,"winter","cold"
3,"winter","snow"
3,"winter","frost"
3,"winter","coat"
3,"winter","gloves"
3,"winter","chilly"
2,"summer","summer"
3,"summer","warm"
3,"summer","sand"
3,"summer","beach"
3,"summer","pool"
3,"summer","sandal"
3,"summer","sunny"
