"block","type","word"
1,"practice","nestle"
1,"practice","tetley"
2,"neutral","pepsi"
2,"neutral","google"
2,"neutral","liberal"
2,"neutral","forest"
2,"neutral","time"
2,"neutral","bottle"
2,"neutral","paper"
2,"neutral","candle"
2,"neutral","edit"
2,"neutral","crop"
2,"neutral","write"
2,"neutral","soup"
2,"neutral","clay"
2,"neutral","cotton"
2,"neutral","locust"
2,"neutral","dove"
2,"neutral","piece"
2,"neutral","diary"
2,"neutral","window"
2,"neutral","chess"
2,"neutral","easter"
2,"neutral","orange"
2,"neutral","shoe"
2,"neutral","tower"
2,"neutral","prince"
2,"neutral","chess"
2,"neutral","hoover"
2,"neutral","amazon"
2,"expensive","luxury"
2,"expensive","audi"
2,"expensive","lexus"
2,"expensive","lotus"
2,"expensive","jeep"
2,"expensive","jaguar"
2,"expensive","aston"
2,"inexpensive","fiesta"
2,"inexpensive","fiat"
2,"inexpensive","nissan"
2,"inexpensive","skoda"
2,"inexpensive","ford"
2,"inexpensive","budget"
2,"inexpensive","honda"
